row_id	image_id	gpu	seed1	seed2	measurement_path	execution_order
28	69377	0	22028	23028	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69377_phase_noise005_meas5401.pt	base_full,base_extra
29	61863	1	22029	23029	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61863_phase_noise005_meas5401.pt	base_extra,base_full
30	61904	2	22030	23030	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61904_phase_noise005_meas5401.pt	base_full,base_extra
31	64885	3	22031	23031	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64885_phase_noise005_meas5401.pt	base_extra,base_full
32	68943	0	22032	23032	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68943_phase_noise005_meas5401.pt	base_full,base_extra
33	67293	1	22033	23033	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67293_phase_noise005_meas5401.pt	base_extra,base_full
34	62739	2	22034	23034	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62739_phase_noise005_meas5401.pt	base_full,base_extra
35	60140	3	22035	23035	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq60140_phase_noise005_meas5401.pt	base_extra,base_full
36	65449	0	22036	23036	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65449_phase_noise005_meas5401.pt	base_full,base_extra
37	65003	1	22037	23037	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65003_phase_noise005_meas5401.pt	base_extra,base_full
38	66752	2	22038	23038	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66752_phase_noise005_meas5401.pt	base_full,base_extra
39	65269	3	22039	23039	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65269_phase_noise005_meas5401.pt	base_extra,base_full
40	65949	0	22040	23040	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65949_phase_noise005_meas5401.pt	base_full,base_extra
41	68303	1	22041	23041	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68303_phase_noise005_meas5401.pt	base_extra,base_full
42	61252	2	22042	23042	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61252_phase_noise005_meas5401.pt	base_full,base_extra
43	67174	3	22043	23043	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67174_phase_noise005_meas5401.pt	base_extra,base_full
44	62931	0	22044	23044	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62931_phase_noise005_meas5401.pt	base_full,base_extra
45	61043	1	22045	23045	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61043_phase_noise005_meas5401.pt	base_extra,base_full
46	69075	2	22046	23046	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69075_phase_noise005_meas5401.pt	base_full,base_extra
47	62313	3	22047	23047	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62313_phase_noise005_meas5401.pt	base_extra,base_full
48	69073	0	22048	23048	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69073_phase_noise005_meas5401.pt	base_full,base_extra
49	61306	1	22049	23049	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61306_phase_noise005_meas5401.pt	base_extra,base_full
50	65327	2	22050	23050	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65327_phase_noise005_meas5401.pt	base_full,base_extra
51	65365	3	22051	23051	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65365_phase_noise005_meas5401.pt	base_extra,base_full
52	63550	0	22052	23052	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq63550_phase_noise005_meas5401.pt	base_full,base_extra
53	62988	1	22053	23053	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62988_phase_noise005_meas5401.pt	base_extra,base_full
54	69951	2	22054	23054	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69951_phase_noise005_meas5401.pt	base_full,base_extra
55	69359	3	22055	23055	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69359_phase_noise005_meas5401.pt	base_extra,base_full
56	62484	0	22056	23056	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62484_phase_noise005_meas5401.pt	base_full,base_extra
57	67520	1	22057	23057	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67520_phase_noise005_meas5401.pt	base_extra,base_full
58	66889	2	22058	23058	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66889_phase_noise005_meas5401.pt	base_full,base_extra
59	65120	3	22059	23059	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65120_phase_noise005_meas5401.pt	base_extra,base_full
60	66591	0	22060	23060	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66591_phase_noise005_meas5401.pt	base_full,base_extra
61	62881	1	22061	23061	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62881_phase_noise005_meas5401.pt	base_extra,base_full
62	65286	2	22062	23062	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65286_phase_noise005_meas5401.pt	base_full,base_extra
63	63296	3	22063	23063	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq63296_phase_noise005_meas5401.pt	base_extra,base_full
64	65223	0	22064	23064	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65223_phase_noise005_meas5401.pt	base_full,base_extra
65	65271	1	22065	23065	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65271_phase_noise005_meas5401.pt	base_extra,base_full
66	66101	2	22066	23066	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66101_phase_noise005_meas5401.pt	base_full,base_extra
67	63995	3	22067	23067	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq63995_phase_noise005_meas5401.pt	base_extra,base_full
68	64695	0	22068	23068	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64695_phase_noise005_meas5401.pt	base_full,base_extra
69	66724	1	22069	23069	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66724_phase_noise005_meas5401.pt	base_extra,base_full
70	63812	2	22070	23070	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq63812_phase_noise005_meas5401.pt	base_full,base_extra
71	62908	3	22071	23071	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62908_phase_noise005_meas5401.pt	base_extra,base_full
72	66668	0	22072	23072	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66668_phase_noise005_meas5401.pt	base_full,base_extra
73	66145	1	22073	23073	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66145_phase_noise005_meas5401.pt	base_extra,base_full
74	61981	2	22074	23074	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61981_phase_noise005_meas5401.pt	base_full,base_extra
75	69578	3	22075	23075	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69578_phase_noise005_meas5401.pt	base_extra,base_full
76	68016	0	22076	23076	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68016_phase_noise005_meas5401.pt	base_full,base_extra
77	67948	1	22077	23077	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67948_phase_noise005_meas5401.pt	base_extra,base_full
78	67687	2	22078	23078	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67687_phase_noise005_meas5401.pt	base_full,base_extra
79	64022	3	22079	23079	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64022_phase_noise005_meas5401.pt	base_extra,base_full
80	69418	0	22080	23080	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69418_phase_noise005_meas5401.pt	base_full,base_extra
81	60860	1	22081	23081	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq60860_phase_noise005_meas5401.pt	base_extra,base_full
82	66715	2	22082	23082	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66715_phase_noise005_meas5401.pt	base_full,base_extra
83	68539	3	22083	23083	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68539_phase_noise005_meas5401.pt	base_extra,base_full
84	68681	0	22084	23084	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68681_phase_noise005_meas5401.pt	base_full,base_extra
85	64854	1	22085	23085	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64854_phase_noise005_meas5401.pt	base_extra,base_full
86	68357	2	22086	23086	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68357_phase_noise005_meas5401.pt	base_full,base_extra
87	62600	3	22087	23087	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq62600_phase_noise005_meas5401.pt	base_extra,base_full
88	64738	0	22088	23088	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64738_phase_noise005_meas5401.pt	base_full,base_extra
89	65329	1	22089	23089	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65329_phase_noise005_meas5401.pt	base_extra,base_full
90	65811	2	22090	23090	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65811_phase_noise005_meas5401.pt	base_full,base_extra
91	69521	3	22091	23091	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq69521_phase_noise005_meas5401.pt	base_extra,base_full
92	61669	0	22092	23092	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq61669_phase_noise005_meas5401.pt	base_full,base_extra
93	64518	1	22093	23093	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64518_phase_noise005_meas5401.pt	base_extra,base_full
94	66427	2	22094	23094	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66427_phase_noise005_meas5401.pt	base_full,base_extra
95	68700	3	22095	23095	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq68700_phase_noise005_meas5401.pt	base_extra,base_full
96	65470	0	22096	23096	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq65470_phase_noise005_meas5401.pt	base_full,base_extra
97	64749	1	22097	23097	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq64749_phase_noise005_meas5401.pt	base_extra,base_full
98	66776	2	22098	23098	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq66776_phase_noise005_meas5401.pt	base_full,base_extra
99	67185	3	22099	23099	/egr/research-pac/huang248/outputs/pr_diffusion/b21_solver/B21_11_fresh2_final_val100_meas5401/measurements/ffhq67185_phase_noise005_meas5401.pt	base_extra,base_full
