image_id,measurement_id,dataset_split,first_project_stage,roles_seen,ground_truth_inspected,artifacts,exclusion_reason,source_evidence
00010,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00011,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00012,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00013,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00014,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00015,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00016,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00017,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00018,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00019,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00020,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00021,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00022,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00023,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00024,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,PRE_B19,development|comparison|manual_inspection,true,pre-B23 FFHQ available25,PRE_B23_EXPOSURE_CONSERVATIVE,docs/branch_A_clean_free_certificates.md
00028,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B19,DAPS_smoke|manual_inspection,true,B19 special image,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b19/b19_3_daps_smoke_00028.md
00046,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B20,LF_development|continuation_smoke|manual_inspection,true,B20/B21 hard image,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b21/b21_registry.md
00480,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B19,development|manual_inspection,true,B19 documented image,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b19
00746,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B19,development|manual_inspection,true,B19 documented image,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b19
00971,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B19,development|manual_inspection,true,B19 documented image,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b19
60044,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_smoke|B22_panel|manual_inspection,true,B21.11 locked measurement and B22 replay,PRE_B23_EXPOSURE_CONSERVATIVE,configs/b22/b22_2_overnight.json
60140,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
61252,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
61669,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
62739,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
62908,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
64518,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
65003,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
65269,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
65365,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
65553,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
66591,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
66715,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
66889,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
67293,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
67520,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
68539,UNKNOWN_ALL_MEASUREMENTS,FFHQ_PRE_B23_EXPOSED,B21,B21_benchmark|B22_panel|failure_taxonomy,true,B22 taxonomy row,PRE_B23_EXPOSURE_CONSERVATIVE,docs/b22/b22_3_visual_failure_taxonomy.csv
